question_id,question_class,arm,rep,passed,failed_checks,latency_ms,adjusted_latency_ms,rate_limit_wait_s,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_calls,tool_calls,path,termination,budget_type,error_kind,parse_error,usage_missing_calls,answer
w7-06,two_hop,agent,1,False,must_contain,21746.626,21746.626,0.0,4243,345,0,4588,0.00084345,3,2,check_deprecation -> search_docs,final_answer,,,,0,"The POST /v2/messages endpoint is retired; its replacement is the v3 POST /v3/messages operation, which by default retries up to 3 additional attempts (default max_retries = 3)."
w7-06,two_hop,workflow,1,False,must_contain,25211.222,25211.222,0.0,3212,313,0,3525,0.0006696,1,4,search_docs -> search_docs -> check_deprecation -> get_openapi_spec,final_answer,,,,0,The POST /v2/messages endpoint has been retired and is no longer supported; its v3 replacement (POST /v3/messages) performs automatic retries with a default of three retry attempts.
w7-07,two_hop,agent,1,True,,13052.307,13052.307,0.0,4057,487,768,4544,0.00084315,3,2,check_deprecation -> search_docs,final_answer,,,,0,The POST /v2/messages:multi endpoint was retired in v3 and replaced by the batch operation (Client.send_batch) at /v3/batches; the replacement’s default concurrency is 8.
w7-07,two_hop,workflow,1,False,must_contain,23501.698,23501.698,0.0,2846,360,0,3206,0.0006429,1,4,search_docs -> search_docs -> check_deprecation -> get_openapi_spec,final_answer,,,,0,The POST /v2/messages:multi endpoint was retired in v3 and is no longer supported; it was superseded by the batch operation (POST /v3/batches) whose default concurrency is 8.
w7-08,two_hop,agent,1,True,,11204.451,11204.451,0.0,3883,576,1536,4459,0.00081285,3,2,check_deprecation -> search_docs,final_answer,,,,0,"The POST /v2/connections:close call is retired; you should use the v3 replacement (Client.close, which maps to POST /v3/connections:drain). In v3 the close operation drains in‑flight requests by default, and if a timeout_ms expires before those requests finish, the remaining connections are closed a"
w7-08,two_hop,workflow,1,True,,13713.129,13713.129,0.0,2361,387,256,2748,0.00056715,1,4,search_docs -> search_docs -> check_deprecation -> get_openapi_spec,final_answer,,,,0,"The POST /v2/connections:close endpoint is retired; you should now call the v3 replacement POST /v3/connections:drain (exposed as Client.close). In v3 the call defaults to draining in‑flight requests with a timeout (default 5000 ms); if the timeout expires before those requests finish, the remaining"
w7-09,two_hop,agent,1,False,must_contain,34102.593,34102.593,0.0,7026,516,1536,7542,0.0012483,4,3,search_docs -> check_deprecation -> search_docs,final_answer,,,,0,"Yes, the v2 streaming endpoint is retired (retired in v3) and its v3 replacement sends server keep‑alive frames every 15000 ms (15 seconds) by default."
w7-09,two_hop,workflow,1,False,must_contain,15764.685,15764.685,0.0,2541,283,0,2824,0.00055095,1,4,search_docs -> search_docs -> check_deprecation -> get_openapi_spec,final_answer,,,,0,"Yes, the v2 streaming endpoint is retired (retired in v3) and its v3 replacement sends keep‑alive (heartbeat) frames every 15000 ms by default."
w7-10,refusal,agent,1,False,parsed,117927.817,117927.817,0.0,20188,492,3072,20680,0.003093,6,6,search_docs -> search_docs -> search_docs -> search_docs -> search_docs -> get_openapi_spec,budget,max_tokens,,"budget: max_tokens tripped at pre_call: projected 26,580.0000 exceeded limit 25,000.0000",0,
w7-10,refusal,workflow,1,True,,19259.333,19259.333,0.0,2482,114,0,2596,0.0004407,1,3,search_docs -> search_docs -> check_deprecation,final_answer,,,,0,INSUFFICIENT_CONTEXT
w7-01,single_hop,agent,2,True,,6953.94,6953.94,0.0,3006,278,0,3284,0.0006177,2,1,search_docs,final_answer,,,,0,"In v3, Client.send() does not retry when it receives a 4xx response; such statuses are returned to the caller immediately and are never retried."
w7-01,single_hop,workflow,2,True,,26357.906,26357.906,0.0,3196,224,256,3420,0.0005946,1,4,search_docs -> search_docs -> check_deprecation -> get_openapi_spec,final_answer,,,,0,"In v3, Client.send() does not retry when it receives a 4xx response; such statuses are returned to the caller immediately and are never retried."
w7-02,single_hop,agent,2,True,,1638.179,1638.179,0.0,2273,182,768,2455,0.00039255,2,1,get_openapi_spec,final_answer,,,,0,"In v3, Client.upload() makes a POST request to the /v3/files endpoint."
w7-02,single_hop,workflow,2,True,,15887.818,15887.818,0.0,2871,184,0,3055,0.00054105,1,4,search_docs -> search_docs -> check_deprecation -> get_openapi_spec,final_answer,,,,0,"In v3, Client.upload() makes a POST request to the “/v3/files” endpoint."
w7-03,single_hop,agent,2,False,must_contain,4006.197,4006.197,0.0,1915,161,768,2076,0.00032625,2,1,check_deprecation,final_answer,,,,0,The v3 batch operation behind Client.send_batch() is still current and not retired.
w7-03,single_hop,workflow,2,False,must_contain,11614.519,11614.519,0.0,2724,203,256,2927,0.0005112,1,4,search_docs -> search_docs -> check_deprecation -> get_openapi_spec,final_answer,,,,0,The v3 batch operation used by Client.send_batch() is not retired; it remains a current API method.
w7-04,cross_version,agent,2,True,,24773.777,24773.777,0.0,5359,297,2560,5656,0.00079005,3,2,search_docs -> search_docs,final_answer,,,,0,"Yes, the default heartbeat_ms for Client.stream() changed from 30000 ms in v2 to 15000 ms in v3."
w7-04,cross_version,workflow,2,True,,2497.505,2497.505,0.0,2528,215,0,2743,0.0005082,1,4,search_docs -> search_docs -> check_deprecation -> get_openapi_spec,final_answer,,,,0,"Yes, the default heartbeat_ms changed from 30000 ms in v2 to 15000 ms in v3."
w7-05,cross_version,agent,2,False,version_named,9042.299,9042.299,0.0,4690,487,2304,5177,0.0008229,3,2,search_docs -> search_docs,final_answer,,,,0,"In v2, Client.close() unconditionally cancels any in‑flight requests—its force parameter defaults to true and the method does not wait or drain those requests, closing the pooled connections immediately. In v3 the default changes so that in‑flight requests are drained (not cancelled) unless force=Tr"
w7-05,cross_version,workflow,2,False,version_named,14182.502,14182.502,0.0,2247,451,0,2698,0.00060765,1,4,search_docs -> search_docs -> check_deprecation -> get_openapi_spec,final_answer,,,,0,"In v2, Client.close() unconditionally closes every pooled connection and immediately cancels any in‑flight requests with no timeout or draining (the `force` behavior defaults to true), which is not the default in v3 where the method now drains requests instead of cancelling them."
